event,FR_count,DE_count,FR_share,DE_share
negative_price,434,459,0.07412467976088813,0.07839453458582409
high_price_95,293,293,0.05004269854824936,0.05004269854824936
jump_95,293,293,0.05004269854824936,0.05004269854824936
spread_extreme_95,293,293,0.05004269854824936,0.05004269854824936
high_price_99,59,59,0.010076857386848848,0.010076857386848848
