datetime_utc,price_fr,price_de_lu,spread,d_fr,d_de,hour,dow,x,y,rolling_vol,regime,u,v
2025-01-01 01:00:00+00:00,16.66,0.0,16.66,-2.2600000000000016,-1.6,1,2,1.6354545454545453,-0.5275757575757569,,calm,0.5738684884713919,0.47105038428693424
2025-01-01 02:00:00+00:00,13.1,-0.01,13.11,-3.5600000000000005,-0.01,2,2,-0.3333333333333339,-0.9869696969696975,,calm,0.4819812126387703,0.44679760888129805
2025-01-01 03:00:00+00:00,5.9,-0.01,5.91,-7.199999999999999,0.0,3,2,-11.815757575757576,-7.198484848484849,,calm,0.12792485055508113,0.23330486763450042
2025-01-01 04:00:00+00:00,9.27,-0.06,9.33,3.369999999999999,-0.049999999999999996,4,2,-6.084848484848486,-15.545151515151517,,calm,0.26268146883005977,0.0959863364645602
2025-01-01 05:00:00+00:00,10.04,-0.09,10.129999999999999,0.7699999999999996,-0.03,5,2,-18.33,-14.337878787878786,,calm,0.05448334756618275,0.11067463706233988
2025-01-01 06:00:00+00:00,7.23,-0.01,7.24,-2.8099999999999987,0.08,6,2,-14.15090909090909,1.7533333333333334,,calm,0.09359521776259608,0.5940222032450897
2025-01-01 07:00:00+00:00,12.83,-0.01,12.84,5.6,0.0,7,2,13.567575757575757,13.213030303030303,,calm,0.9028181041844577,0.8819812126387703
2025-01-01 08:00:00+00:00,13.76,-0.04,13.799999999999999,0.9299999999999997,-0.03,8,2,23.21,22.707878787878787,,calm,0.961400512382579,0.9429547395388557
2025-01-01 09:00:00+00:00,17.95,-0.03,17.98,4.1899999999999995,0.010000000000000002,9,2,19.43121212121212,16.338181818181816,,calm,0.9455166524338172,0.9134073441502989
2025-01-01 10:00:00+00:00,20.59,-0.1,20.69,2.6400000000000006,-0.07,10,2,7.106969696969699,14.585454545454546,,calm,0.7923142613151153,0.8985482493595218
2025-01-01 11:00:00+00:00,28.11,-0.05,28.16,7.52,0.05,11,2,12.597878787878788,6.589090909090909,,calm,0.8901793339026474,0.7692570452604611
2025-01-01 12:00:00+00:00,30.0,-0.1,30.1,1.8900000000000006,-0.05,12,2,5.4781818181818185,-1.6924242424242422,20.768131313131313,calm,0.7402220324508967,0.4095644748078565
2025-01-01 13:00:00+00:00,21.5,-1.01,22.51,-8.5,-0.91,13,2,-9.754242424242424,-11.122121212121213,20.776456876456876,calm,0.16686592655849702,0.1561058923996584
2025-01-01 14:00:00+00:00,10.68,-0.01,10.69,-10.82,1.0,14,2,-17.01848484848485,-16.4530303030303,21.683246753246753,calm,0.06473099914602903,0.08983774551665244
2025-01-01 15:00:00+00:00,20.18,-0.01,20.19,9.5,0.0,15,2,-4.957575757575759,-24.425454545454546,22.196565656565653,stressed,0.29786507258753203,0.04850555081127242
2025-01-01 16:00:00+00:00,35.72,0.07,35.65,15.54,0.08,16,2,-5.2309090909090905,-25.01090909090909,22.699393939393943,stressed,0.2876174210076857,0.04577284372331341
2025-01-01 17:00:00+00:00,48.06,1.01,47.050000000000004,12.340000000000003,0.94,17,2,-13.159999999999997,-25.908484848484846,23.6622816399287,stressed,0.1067463706233988,0.04235695986336464
2025-01-01 18:00:00+00:00,50.14,1.48,48.660000000000004,2.0799999999999983,0.47,18,2,-5.469090909090909,-3.528787878787875,22.84759259259259,stressed,0.28129803586678054,0.3373185311699402
2025-01-01 19:00:00+00:00,41.5,1.0,40.5,-8.64,-0.48,19,2,-0.5193939393939395,24.062121212121205,22.93885167464115,stressed,0.47446626814688303,0.9480785653287788
2025-01-01 20:00:00+00:00,34.93,0.07,34.86,-6.57,-0.9299999999999999,20,2,-0.13181818181818095,18.826666666666668,22.739833333333333,stressed,0.49205807002561913,0.9253629376601196
2025-01-01 21:00:00+00:00,34.69,10.05,24.639999999999997,-0.240000000000002,9.98,21,2,11.320303030303025,21.403636363636366,23.215266955266955,stressed,0.8720751494449188,0.9385140905209223
2025-01-01 22:00:00+00:00,28.04,7.01,21.03,-6.649999999999999,-3.040000000000001,22,2,6.020882352941179,4.438529411764705,22.635455355695996,stressed,0.7595217762596072,0.7094790777113578
2025-01-01 23:00:00+00:00,39.84,2.55,37.290000000000006,11.800000000000004,-4.46,23,2,22.562500000000007,0.3902777777777775,22.64925198274303,stressed,0.9578138343296327,0.5231426131511528
2025-01-02 00:00:00+00:00,44.1,1.56,42.54,4.259999999999998,-0.9899999999999998,0,3,7.42611111111111,2.538611111111111,22.120729909387997,calm,0.7998292058070026,0.6322801024765158
2025-01-02 01:00:00+00:00,44.7,3.45,41.25,0.6000000000000014,1.8900000000000001,1,3,5.918888888888889,2.686388888888889,22.38915688750248,stressed,0.7547395388556789,0.6404782237403929
2025-01-02 02:00:00+00:00,42.92,7.02,35.900000000000006,-1.7800000000000011,3.5699999999999994,2,3,4.08861111111111,1.9263888888888883,22.58476926123985,stressed,0.6917164816396243,0.6013663535439795
2025-01-02 03:00:00+00:00,40.15,12.75,27.4,-2.770000000000003,5.73,3,3,-4.847777777777781,-0.26500000000000057,22.005541567637156,calm,0.30128095644748076,0.484201537147737
2025-01-02 04:00:00+00:00,52.51,30.07,22.439999999999998,12.36,17.32,4,3,-1.168333333333333,1.623055555555558,21.220599438007525,calm,0.4457728437233134,0.5859948761742101
2025-01-02 05:00:00+00:00,93.3,67.13,26.17,40.79,37.059999999999995,5,3,22.614722222222223,23.488888888888884,21.780421618142206,calm,0.9579846285226302,0.9455166524338172
